,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
12097,105.0,0.777777777777775,0.006468277580095041,0.0005814805942138063,4.255254965188319e-05,0.0,0.0,0.001,0.0,0.0,0.2857110251246732,-0.03996845700436137,3.1264791196338735e-05,0.5136478746766776
14906,130.0,0.03418803418803407,2.7937832426125618e-06,3.587726287069858e-05,1.0987747562692841e-06,0.0,0.0,0.0,0.0,4.0,0.09386998040181933,2.319721599557829,1.4435556714226243e-07,0.005840920199875987
19856,173.0,0.1025641025641022,0.000246789622726426,0.00020773857275692198,1.9777945612847117e-05,0.0,0.0,0.0,0.0,3.0,0.18756513291779567,-1.0661170511879101,1.703395692278697e-06,0.021196517063994103
14279,124.0,0.6752136752136728,0.050166413507005424,0.008687090135455119,0.007010782276683272,0.006,0.004,0.01,0.0,0.0,0.16755223476465708,0.13962585321268506,0.001617052690600897,0.3519196924226184
3852,34.0,0.43589743589743435,0.0047840035164456235,0.002131880569612526,0.0009970881470072722,0.0,0.001,0.001,0.0,5.0,-0.5543398967588519,-1.2447473497365686,0.0005515878713439355,0.12843642388982499
588,5.0,0.5897435897435876,4.3851051596356864e-05,0.0012209388040482435,0.00012555998805731727,0.0,0.0,0.0,0.0,3.0,0.30060629677038203,-1.08132678055028,1.3138981256621198e-05,0.23999689996971274
1861,16.0,0.37606837606837473,0.005976658946486307,0.003088997864085635,0.0033101088975683217,0.0,0.002,0.002,0.0,2.0,0.8838396358397974,0.08144953327556093,0.007413805343352289,0.10397438743248254
6971,61.0,0.5811965811965791,0.03520262682675603,0.04751749071898901,0.04177601556504342,0.004,0.007,0.011,0.001,2.0,0.8133819697724695,0.032957636950708344,0.03603871641507364,0.23111960472614682
7365,64.0,0.9316239316239319,0.0027322930661575168,0.002222634015517385,0.000612916536769848,0.0,0.0,0.001,0.0,1.0,0.7274683677265099,0.7684471871082044,0.0014614321399281874,0.8202208391739338
21694,189.0,0.5726495726495706,0.0027649725301936295,0.0003888197843100806,0.0004782666848197575,0.0,0.001,0.002,0.0,0.0,-0.2534028199526442,0.48099508609892405,0.0003403169372145461,0.22279779199476488
12339,107.0,0.8290598290598297,3.577673439239005e-05,3.602235233879089e-05,8.790198050154273e-06,0.0,0.0,0.0,0.0,4.0,0.14365485677912207,2.9285808448096993,1.992894220565816e-05,0.6047053755071617
10317,90.0,0.5811965811965791,0.0004816149041704658,0.001274993671010127,0.0023123215302616055,0.001,0.0,0.001,0.0,1.0,0.5109171504214549,0.8289955735597386,0.0008700047566996627,0.23111960472614682
786,7.0,0.264957264957264,0.0008126370916616605,0.001510874602577436,4.115410905299501e-05,0.0,0.0,0.0,0.0,1.0,0.7115642294506368,0.7797025362016357,1.588698632567481e-05,0.06643966052935749
4253,37.0,0.8461538461538467,0.00037193409402647826,3.308758164239368e-05,9.489418349598363e-06,0.0,0.0,0.0,0.0,0.0,-0.2130090157375963,0.7728893258165518,6.220412620493855e-06,0.6351565938450539
3240,28.0,0.38461538461538325,0.0025835971439386487,0.00019253897342357362,1.0288527263248752e-05,0.0,0.0,0.001,0.0,1.0,0.21892226105652315,1.8293579787332808,1.2435575947637082e-05,0.10681902706895534
3948,35.0,0.24786324786324698,0.3408305768814875,0.02780563055865611,0.004822822071108507,0.004,0.005,0.01,0.0,1.0,0.6108665297416618,1.832594440503692,0.002440325613246596,0.06144993854249931
